study_hours,attendance_percent,previous_score,final_score
7.97,86.74,70.05,117.69
4.95,78.84,73.99,104.24
8.73,82.61,40.07,100.2
7.28,90.6,59.95,111.86
1.85,85.39,37.5,70.47
9.78,82.14,64.64,119.02
7.85,82.37,54.79,107.62
8.07,72.16,43.67,96.4
2.15,61.23,41.2,68.31
5.05,77.47,70.26,102.36
4.34,68.58,45.24,77.19
9.34,76.34,90.51,130.04
6.79,94.14,69.86,118.18
8.4,69.36,55.81,107.28
4.99,62.33,70.45,96.21
3.05,71.26,36.37,68.62
5.99,71.74,92.51,121.32
1.57,86.48,63.94,84.21
8.45,82.28,81.96,123.77
6.68,91.36,39.96,95.3
7.82,86.57,64.2,112.08
4.19,76.26,64.44,94.16
9.74,92.56,91.27,140.3
9.04,66.68,69.3,115.03
8.01,60.91,63.41,106.99
2.75,63.6,51.02,75.15
5.2,88.89,54.89,97.92
1.39,78.48,66.24,80.26
2.39,66.45,61.33,81.06
7.15,80.04,36.3,87.95
7.7,66.09,84.58,116.01
9.71,87.85,88.77,135.47
3.93,77.85,43.41,79.3
4.33,75.24,68.24,98.71
5.23,72.06,41.51,79.52
2.71,85.21,75.33,98.23
2.17,74.47,51.87,75.92
5.28,63.51,74.57,100.22
3.04,64.72,78.62,96.53
7.03,98.48,81.12,125.8
4.93,96.34,41.46,92.04
8.49,87.99,89.96,132.62
7.3,70.63,48.81,93.72
3.81,98.77,37.24,82.33
8.49,91.15,68.29,120.43
8.24,88.68,57.26,111.22
4.49,77.97,84.79,107.09
3.59,70.89,83.5,102.34
7.14,63.86,54.03,95.92
2.26,96.1,92.17,116.07
2.8,78.23,52.46,84.99
1.07,68.09,65.9,77.45
8.08,72.24,50.36,99.38
6.98,83.17,91.16,122.75
7.35,67.07,44.88,90.34
8.03,94.26,37.69,99.85
5.13,90.34,61.11,103.3
6.12,88.78,94.54,124.77
2.26,77.28,88.5,100.76
2.03,85.09,79.92,93.97
